ZIP Code,Home1MCount,HomeValueGrowth,Recreational Vessel Count,Area,Median_Income,Mean_Income,Private School Count,Wealth Score,Rank
32421,0,0,1,Altha,45536,45536,0,0.598407768,876
33521,0,0,1,Coleman,55455,55455,0,0.593616661,877
33476,0,0,3,Pahokee,35619,35619,1,0.593394996,878
34475,17,0,5,Ocala,33515,33515,0,0.59072681,879
32324,0,0,1,Chattahoochee,42607,42607,0,0.589758266,880
33471,0,0,22,Moore Haven,36624,36624,0,0.588185406,881
33924,5,0,10,Captiva,63393,63393,0,0.587705908,882
32147,0,0,0,Hollister,35829,35829,0,0.585273387,883
33857,0,0,2,Lorida,47083,47083,0,0.58401833,884
33128,0,0,3,Miami,36308,36308,0,0.580147325,885
32455,10,0,3,Ponce De Leon,45110,45110,0,0.57745184,886
32430,0,0,0,Clarksville,57037,57037,0,0.57666178,887
33503,0,0,0,Balm,58125,58125,0,0.576484626,888
32437,22,0,1,Ebro,43472,43472,0,0.57229448,889
32462,18,0,0,Vernon,43581,43581,0,0.570008898,890
32438,10,0,0,Fountain,42417,42417,0,0.569450261,891
32508,0,0,2,Pensacola,65000,65000,0,0.568377885,892
33827,1,0,3,Babson Park,59776,59776,0,0.564095312,893
32445,0,0,0,Malone,48625,48625,0,0.554478462,894
33867,0,0,0,River Ranch,38958,38958,0,0.553216807,895
32641,0,0,2,Gainesville,36814,36814,0,0.551421919,896
33838,0,0,0,Dundee,44514,44514,0,0.549932946,897
32134,0,0,8,Fort McCoy,46429,46429,0,0.547841113,898
33815,27,0,5,Lakeland,36445,36445,0,0.547517271,899
32425,2,0,4,Bonifay,44651,44651,0,0.546626018,900
32403,0,0,4,Panama City,61500,61500,0,0.545259998,901
32535,3,0,1,Century,40318,40318,0,0.543221985,902
32340,19,0,6,Madison,43393,43393,0,0.543002493,903
34268,0,0,0,Nocatee,24292,24292,0,0.542226789,904
34950,9,0,35,Fort Pierce,32707,32707,0,0.541112202,905
32347,8,0,1,Perry,41750,41750,0,0.539016465,906
32083,0,0,1,Raiford,47354,47354,0,0.514359692,907
32423,0,0,0,Bascom,55191,55191,0,0.513686253,908
33856,0,0,0,Nalcrest,38226,38226,0,0.508147914,909
32442,0,0,0,Grand Ridge,40575,40575,0,0.500754499,910
33944,0,0,0,Palmdale,36193,36193,1,0.489542842,911
32639,0,0,1,Gulf Hammock,39727,39727,0,0.486984892,912
32332,0,0,0,Gretna,33750,33750,0,0.482127263,913
32352,13,0,4,Quincy,40956,40956,0,0.475882668,914
32426,0,0,0,Campbellton,34650,34650,0,0.471997158,915
32628,0,0,1,Cross City,42029,42029,0,0.455519181,916
32601,0,0,12,Gainesville,30878,30878,0,0.452910938,917
33855,0,0,0,Indian Lake Estates,56302,56302,0,0.450414198,918
33841,5,0,3,Fort Meade,39608,39608,0,0.450256308,919
32330,0,0,0,Greensboro,41563,41563,0,0.446856296,920
32694,0,0,2,Waldo,40455,40455,0,0.433998001,921
32681,0,0,0,Orange Lake,53619,53619,0,0.428950284,922
32350,0,0,0,Pinetta,45417,45417,0,0.41567396,923
32212,0,0,1,Jacksonville,47684,47684,0,0.401429756,924
32616,0,0,2,Alachua,26528,26528,0,0.400693536,925
32831,0,0,1,Orlando,41094,41094,0,0.393780009,926
32079,0,0,0,Penney Farms,41705,41705,0,0.373415735,927
32323,0,0,1,Lanark Village,42554,42554,0,0.341760426,928
32544,0,0,0,Hurlburt Field,41917,41917,0,0.335334659,929
32631,0,0,2,Earleton,38836,38836,0,0.318760304,930
34140,0,0,18,Goodland,30489,30489,0,0.27085646,932
32648,3,0,0,Horseshoe Beach,33292,33292,0,0.268877308,933
